pair,model_a,model_b,horizon,regime,wis_a,wis_b,disp_a,disp_b,n_a,n_b,diff,rel_diff,winner
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,3,growing,0.3652260064758303,0.37124842980904765,0.14705632830175616,0.1601153861026261,346,346,-0.006022423333217342,-0.016222084323198313,tie
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,3,peaking,0.4002658997963258,0.440855126106882,0.18901114073501596,0.2214755374806822,80,80,-0.04058922631055617,-0.09206930782226092,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,4,declining,0.35572450190338367,0.37845118940283257,0.15171663351168455,0.1678922496569439,201,201,-0.022726687499448894,-0.06005183266912146,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,4,growing,0.41718217488522996,0.42488352014799824,0.1707153132857659,0.18774465198667006,346,346,-0.007701345262768278,-0.018125780119891903,tie
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,4,peaking,0.4774171843815812,0.5282872891930396,0.2164517680229732,0.25720493594910665,80,80,-0.05087010481145837,-0.09629250192478152,a_wins
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,1,declining,0.12998638742642496,0.12948841107450199,0.04560565862023038,0.047833884844112363,201,201,4.979763519229741e-4,0.003830988473349482,tie
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,1,growing,0.1918408595008916,0.18627678993084387,0.05188345751428159,0.056934242311151254,346,346,0.005564069570047736,0.029003568814921183,b_wins
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,1,peaking,0.23912721037611856,0.2470045550974145,0.05926573448547885,0.06791365598727397,80,80,-0.007877344721295948,-0.03189149575881001,a_wins
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,2,declining,0.17146436677578175,0.1731169105230374,0.06445653107893862,0.06685214007124692,201,201,-0.0016525437472556526,-0.009545825085849955,tie
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,2,growing,0.28909811092207366,0.28492056577361563,0.08281484087366958,0.09011429291314609,346,346,0.004177545148458028,0.014450267887029137,tie
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,2,peaking,0.329487013264367,0.3419619634343214,0.09135152457090372,0.10098051152639119,80,80,-0.012474950169954369,-0.03648051977672762,a_wins
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,3,declining,0.22757401298443944,0.2270535649854593,0.07822953281653462,0.08041265701535508,201,201,5.204479989801281e-4,0.0022869394978578426,tie
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,3,growing,0.36597972176272653,0.3653838287580691,0.10850382873363461,0.11822590856729953,346,346,5.958930046574551e-4,0.0016282131747282623,tie
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,3,peaking,0.40029214496249294,0.415372764266168,0.11112594255759166,0.12031905825784396,80,80,-0.015080619303675047,-0.03630623045378943,a_wins
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,4,declining,0.2780537467678264,0.27907459764749926,0.08841172947380603,0.08999228955539774,201,201,-0.0010208508796728522,-0.0036579856722118967,tie
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,4,growing,0.4148659582207608,0.4113691884439021,0.13147359271094808,0.14233512850701258,346,346,0.003496769776858699,0.008428673665719226,tie
nnetar_bc_bs vs nnetar_log,nnetar_bc_bs,nnetar_log,4,peaking,0.44219965668369093,0.450688953719458,0.12291301495968973,0.13023698762078967,80,80,-0.008489297035767063,-0.018836266044921585,tie
